Approaches to exploring category information for question retrieval in community question-answer archives,Xin Cao; Gao Cong; Bin Cui; Christian S Jensen; Quan Yuan,Abstract Community Question Answering (CQA) is a popular type of service where users askquestions and where answers are obtained from other users or from historical question-answer pairs. CQA archives contain large volumes of questions organized into a hierarchyof categories. As an essential function of CQA services; question retrieval in a CQA archiveaims to retrieve historical question-answer pairs that are relevant to a query question. Thisarticle presents several new approaches to exploiting the category information of questionsfor improving the performance of question retrieval; and it applies these approaches toexisting question retrieval models; including a state-of-the-art question retrieval model.Experiments conducted on real CQA data demonstrate that the proposed techniques areeffective and efficient and are capable of outperforming a variety of baseline methods …,ACM Transactions on Information Systems (TOIS),2012,31
Efficient Algorithms for Answering the m-Closest Keywords Query,Tao Guo; Xin Cao; Gao Cong,Abstract As an important type of spatial keyword query; the m-closest keywords (mCK) queryfinds a group of objects such that they cover all query keywords and have the smallestdiameter; which is defined as the largest distance between any pair of objects in the group.The query is useful in many applications such as detecting locations of web resources.However; the existing work does not study the intractability of this problem and only providesexact algorithms; which are computationally expensive. In this paper; we prove that theproblem of answering mCK queries is NP-hard. We first devise a greedy algorithm that hasan approximation ratio of 2. Then; we observe that an mCK query can be approximatelyanswered by finding the circle with the smallest diameter that encloses a group of objectstogether covering all query keywords. We prove that the group enclosed in the circle can …,Proceedings of the 2015 ACM SIGMOD International Conference on Management of Data,2015,29
Retrieving regions of interest for user exploration,Xin Cao; Gao Cong; Christian S Jensen; Man Lung Yiu,Abstract We consider an application scenario where points of interest (PoIs) each have aweb presence and where a web user wants to identify a region that contains relevant PoIsthat are relevant to a set of keywords; eg; in preparation for deciding where to go toconveniently explore the PoIs. Motivated by this; we propose the length-constrainedmaximum-sum region (LCMSR) query that returns a spatial-network region that is locatedwithin a general region of interest; that does not exceed a given size constraint; and that bestmatches query keywords. Such a query maximizes the total weight of the PoIs in it wrt thequery keywords. We show that it is NP-hard to answer this query. We develop anapproximation algorithm with a (5+ ε) approximation ratio utilizing a technique that scalesnode weights into integers. We also propose a more efficient heuristic algorithm and a …,Proceedings of the VLDB Endowment,2014,28
Efficient Processing of Spatial Group Keyword Queries,Xin Cao; Gao Cong; Tao Guo; Christian S Jensen; Beng Chin Ooi,Abstract With the proliferation of geo-positioning and geo-tagging techniques; spatio-textualobjects that possess both a geographical location and a textual description are gaining inprevalence; and spatial keyword queries that exploit both location and textual descriptionare gaining in prominence. However; the queries studied so far generally focus on findingindividual objects that each satisfy a query rather than finding groups of objects where theobjects in a group together satisfy a query. We define the problem of retrieving a group ofspatio-textual objects such that the group's keywords cover the query's keywords and suchthat the objects are nearest to the query location and have the smallest inter-objectdistances. Specifically; we study three instantiations of this problem; all of which are NP-hard. We devise exact solutions as well as approximate solutions with provable …,ACM Transactions on Database Systems (TODS),2015,22
KORS: Keyword-aware Optimal Route Search System,Xin Cao; Lisi Chen; Gao Cong; Jihong Guan; Nhan-Tue Phan; Xiaokui Xiao,We present the Keyword-aware Optimal Route Search System (KORS); which efficientlyanswers the KOR queries. A KOR query is to find a route such that it covers a set of user-specified keywords; a specified budget constraint is satisfied; and an objective score of theroute is optimized. Consider a tourist who wants to spend a day exploring a city. The usermay issue the following KOR query:“find the most popular route such that it passes byshopping mall; restaurant; and pub; and the travel time to and from her hotel is within 4hours.” KORS provides browser-based interfaces for desktop and laptop computers andprovides a client application for mobile devices as well. The interfaces and the client enableusers to formulate queries and view the query results on a map. Queries are then sent to theserver for processing by the HTTP post operation. Since answering a KOR query is NP …,Data Engineering (ICDE); 2013 IEEE 29th International Conference on,2013,13
SWORS: A System for the Efficient Retrieval of Relevant Spatial Web Objects,Xin Cao; Gao Cong; Christian S Jensen; Jun Jie Ng; Beng Chin Ooi; Nhan-Tue Phan; Dingming Wu,*,*,*,12
Maximizing bichromatic reverse spatial and textual k nearest neighbor queries,Farhana M Choudhury; J Shane Culpepper; Timos Sellis; Xin Cao,Abstract The problem of maximizing bichromatic reverse k nearest neighbor queries(BRkNN) has been extensively studied in spatial databases. In this work; we present arelated query for spatial-textual databases that finds an optimal location; and a set ofkeywords that maximizes the size of bichromatic reverse spatial textual k nearest neighbors(MaxBRSTkNN). Such a query has many practical applications including social mediaadvertisements where a limited number of relevant advertisements are displayed to eachuser. The problem is to find the location and the text contents to include in an advertisementso that it will be displayed to the maximum number of users. The increasing availability ofspatial-textual collections allows us to answer these queries for both spatial proximity andtextual similarity. This paper is the first to consider the MaxBRSTkNN query. We show that …,Proceedings of the VLDB Endowment,2016,11
Optimal Route Search with the Coverage of Users' Preferences.,Yifeng Zeng; Xuefeng Chen; Xin Cao; Shengchao Qin; Marc Cavazza; Yanping Xiang,Abstract The preferences of users are important in route search and planning. For example;when a user plans a trip within a city; their preferences can be expressed as keywordsshopping mall; restaurant; and museum; with weights 0.5; 0.4; and 0.1; respectively. Theresulting route should best satisfy their weighted preferences. In this paper; we take intoaccount the weighted user preferences in route search; and present a keyword coverageproblem; which finds an optimal route from a source location to a target location such thatthe keyword coverage is optimized and that the budget score satisfies a specified constraint.We prove that this problem is NP-hard. To solve this complex problem; we propose anoptimal route search based on an A* variant for which we have defined an admissibleheuristic function. The experiments conducted on real-world datasets demonstrate both …,IJCAI,2015,9
SOPS: a system for efficient processing of spatial-keyword publish/subscribe,Lisi Chen; Yan Cui; Gao Cong; Xin Cao,Abstract Massive amount of data that are geo-tagged and associated with text informationare being generated at an unprecedented scale. These geo-textual data cover a wide rangeof topics. Users are interested in receiving up-to-date geo-textual objects (eg; geo-taggedTweets) such that their locations meet users' need and their texts are interesting to users. Forexample; a user may want to be updated with tweets near her home on the topic" denguefever headache". AB@ In this demonstration; we present SOPS; the< u> S</u> patial-Keyw<u> o</u> rd< u> P</u> ublish/< u> S</u> ubscribe System; that is capable of efficientlyprocessing spatial keyword continuous queries. SOPS supports two types of queries:(1)< u>B</u> oolean< u> R</u> ange< u> C</u> ontinuous (BRC) query that can be used tosubscribe the geo-textual objects satisfying a boolean keyword expression and falling in …,Proceedings of the VLDB Endowment,2014,7
Group-based collective keyword querying in road networks,Sen Su; Sen Zhao; Xiang Cheng; Rong Bi; Xin Cao; Jie Wang,Abstract This paper addresses a group-based collective keyword (GBCK) query problem inroad networks. We model the road network as an undirected graph; where each nodelocating in a two-dimensional space represents a road intersection or a Points of Interest(POI); and each edge with weight represents a road segment. The GBCK query aims to finda region containing a set of POIs that covers all the query keywords and these POIs areclose to the group of users and are close to each other. We show the problem of answeringthe GBCK query is NP-hard. To solve this problem; we develop a series of query processingalgorithms. We first propose an efficient algorithm; which gives a 5-factor approximation tofind a feasible region. The cost of this region is further used to limit the search space in theother algorithms. We then propose an exact algorithm; and an approximate algorithm with …,Information Processing Letters,2017,3
Distributed Algorithms on Exact Personalized PageRank,Tao Guo; Xin Cao; Gao Cong; Jiaheng Lu; Xuemin Lin,Abstract As one of the most well known graph computation problems; PersonalizedPageRank is an effective approach for computing the similarity score between two nodes;and it has been widely used in various applications; such as link prediction andrecommendation. Due to the high computational cost and space cost of computing the exactPersonalized PageRank Vector (PPV); most existing studies compute PPV approximately. Inthis paper; we propose novel and efficient distributed algorithms that compute PPV exactlybased on graph partitioning on a general coordinator-based share-nothing distributedcomputing platform. Our algorithms takes three aspects into account: the load balance; thecommunication cost; and the computation cost of each machine. The proposed algorithmsonly require one time of communication between each machine and the coordinator at …,Proceedings of the 2017 ACM International Conference on Management of Data,2017,2
Accelerating large scale centroid-based clustering with locality sensitive hashing,Ryan McConville; Xin Cao; Weiru Liu; Paul Miller,Most traditional data mining algorithms struggle to cope with the sheer scale of dataefficiently. In this paper; we propose a general framework to accelerate existing algorithms tocluster large-scale datasets which contain large numbers of attributes; items; and clusters.Our framework makes use of locality sensitive hashing to significantly reduce the clustersearch space. We also theoretically prove that our framework has a guaranteed error boundin terms of the clustering quality. This framework can be applied to a set of centroid-basedclustering algorithms that assign an object to the most similar cluster; and we adopt thepopular K-Modes categorical clustering algorithm to present how the framework can beapplied. We validated our framework with five synthetic datasets and a real world Yahoo!Answers dataset. The experimental results demonstrate that our framework is able to …,Data Engineering (ICDE); 2016 IEEE 32nd International Conference on,2016,1
Spatial keyword querying beyond the single geo-textual object granularity,Xin Cao,With the proliferation of geo-positioning techniques and mobile devices such as smart-phones and tablet computers; the web is increasingly being used by mobile users andaccurate user positioning is increasingly available. As a result; a spatial; or geographicalweb is emerging where contents and users are associated with locations. This leads to thefact that massive amounts of objects are available on the web that possess both ageographical location and a textual description. Such geo-textual objects include stores;tourist attractions; hotels; restaurants; businesses; entertainment services; public transport;etc. The availability of substantial amounts of geo-textual objects gives prominence to spatialkeyword queries that target these objects. Such queries exploit both locations and textualdescriptions and occur in many types of mobile and traditional web services and …,*,2014,*
